title,startDate,endDate,raw,scale
고려아연,2020.11.24,2020.12.04,"[13, 2, 1, 1, 1, 0, 1, 1, 2, 6, 2]","[1.0, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.0, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.46153846153846156, 0.15384615384615385]"
계룡건설산업,2020.11.24,2020.12.04,"[0, 0, 0, 0, 0, 0, 0, 1, 4, 2, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 1.0, 0.5, 0.0]"
계양전기,2020.11.24,2020.12.04,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
고려산업,2020.11.24,2020.12.04,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
고려제강,2020.11.24,2020.12.04,"[0, 0, 0, 0, 0, 13, 2, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.15384615384615385, 0.0, 0.0, 0.0, 0.0]"
광동제약,2020.11.24,2020.12.04,"[0, 22, 3, 0, 0, 0, 0, 1, 0, 1, 1]","[0.0, 1.0, 0.13636363636363635, 0.0, 0.0, 0.0, 0.0, 0.045454545454545456, 0.0, 0.045454545454545456, 0.045454545454545456]"
광명전기,2020.11.24,2020.12.04,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
광전자,2020.11.24,2020.12.04,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
광주신세계,2020.11.24,2020.12.04,"[5, 12, 3, 1, 0, 5, 5, 9, 6, 4, 2]","[0.4166666666666667, 1.0, 0.25, 0.08333333333333333, 0.0, 0.4166666666666667, 0.4166666666666667, 0.75, 0.5, 0.3333333333333333, 0.16666666666666666]"
교보증권,2020.11.24,2020.12.04,"[0, 2, 0, 1, 0, 0, 1, 1, 0, 1, 2]","[0.0, 1.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.5, 0.0, 0.5, 1.0]"
국도화학,2020.11.24,2020.12.04,"[0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
국보,2020.11.24,2020.12.04,"[1, 1, 0, 2, 0, 2, 23, 8, 18, 3, 3]","[0.043478260869565216, 0.043478260869565216, 0.0, 0.08695652173913043, 0.0, 0.08695652173913043, 1.0, 0.34782608695652173, 0.782608695652174, 0.13043478260869565, 0.13043478260869565]"
